Arquivo Original,Exerc?cio Identificado,G?nero,Nome Sugerido para o Banco
abdominal_bicicleta.mp4,Abdominal Bicicleta,Masculino,abdominal_bicicleta_m.mp4
abdominal_bicicleta (2).mp4,Abdominal Bicicleta,Feminino,abdominal_bicicleta_f.mp4
abdominal_crunch.mp4,Abdominal Crunch,Masculino,abdominal_crunch_m.mp4
abdominal_crunch_haltere.mp4,Abdominal Crunch Haltere,Masculino,abdominal_crunch_haltere_m.mp4
abdominal_maquina.mp4,Abdominal Maquina,Masculino,abdominal_maquina_m.mp4
abdominal_obliquo_solo.mp4,Abdominal Obliquo Solo,Masculino,abdominal_obliquo_solo_m.mp4
abdominal_russo.mp4,Abdominal Russo,Masculino,abdominal_russo_m.mp4
abdominal_russo_com_halteres.mp4,Abdominal Russo Com Halteres,Masculino,abdominal_russo_com_halteres_m.mp4
abdominal_stomach_vacuum.mp4,Abdominal Stomach Vacuum,Masculino,abdominal_stomach_vacuum_m.mp4
abdominal_supino_solo.mp4,Abdominal Supino Solo,Masculino,abdominal_supino_solo_m.mp4
abdominal_twist_russo.mp4,Abdominal Twist Russo,Masculino,abdominal_twist_russo_m.mp4
afundo_bulgaro_com_haltere.mp4,Afundo Bulgaro Com Haltere,Masculino,afundo_bulgaro_com_haltere_m.mp4
afundo_halteres.mp4,Afundo Halteres,Masculino,afundo_halteres_m.mp4
afundo_halteres (2).mp4,Afundo Halteres,Feminino,afundo_halteres_f.mp4
agachamento_com_barra.mp4,Agachamento Com Barra,Masculino,agachamento_com_barra_m.mp4
agachamento_com_salto.mp4,Agachamento Com Salto,Masculino,agachamento_com_salto_m.mp4
agachamento_costas_barra.mp4,Agachamento Costas Barra,Masculino,agachamento_costas_barra_m.mp4
agachamento_goblet.mp4,Agachamento Goblet,Masculino,agachamento_goblet_m.mp4
agachamento_goblet (2).mp4,Agachamento Goblet,Feminino,agachamento_goblet_f.mp4
agachamento_isométrico.mp4,Agachamento Isometrico,Masculino,agachamento_isometrico_m.mp4
agachamento_sumo_haltere.mp4,Agachamento Sumo Haltere,Masculino,agachamento_sumo_haltere_m.mp4
agachamento_sumo_haltere (2).mp4,Agachamento Sumo Haltere,Feminino,agachamento_sumo_haltere_f.mp4
alpinista.mp4,Alpinista,Masculino,alpinista_m.mp4
alpinista_mountain_climber.mp4,Alpinista Mountain Climber,Masculino,alpinista_mountain_climber_m.mp4
